10000001	ちっぽけな勇気	FUNKY MONKEY BABYS
10000002	風になりたい	THE BOOM
10000003	気分上々↑↑	mihimaru GT
10000004	PLAY THE GAME	ロードオブメジャー
10000005	一色	
10000006	粉雪	
10000007	Love so sweet	
10000008	全力少年	
10000009	抱いてセニョリータ	
10000010	キューティーハニー	
10000011	ふがいないや	
10000012	こんなに近くで...	
10000013	POP STAR	
10000014	天体観測	
10000015	endscape	
10000016	負けないで	
10000017	My Love	川嶋あい
10000018	Good bye little girl	Mi
10000019	A Perfect Sky	
10000020	シャナナ☆	MINMI
10000021	SPEED KING	
10000022	Real voice	
10000023	魁！ミッドナイト	RIKI
10000024	FREE FREE	鈴木亜美 joins 中田ヤスタカ(capsule)
10000025	冒険者たち	Do As Infinity
10000026	キスしてほしい	
10000027	光のロック	
10000028	BELIEVE IN LOVE	
10000029	BLOOD on FIRE	AAA
10000030	BLUE BIRD	
10000031	I my me mine	
10000032	太陽の地図	
10000033	PEACH	
10000034	YELL ～エール～	
10000035	rose	ANNA inspi' NANA(BLACK STONES)
10000036	bass 2 bass	Ryu☆
10000037	天国と地獄	Mutsuhiko Izumi
10000038	GIGA BREAK	96
10000039	Icicles	Jimmy Weckl
10000040	Jumping Boogie	Kozo Nakamura
10000041	Snow Goose	Mutsuhiko Izumi
10000042	Polaris	Mutsuhiko Izumi
10000043	Happy Happy	ki☆ki
10000044	I love マミー	荒牧陽子
10000045	Chance and Dice	日本少年
10000046	Y.M.C.A.	Village People
10000047	I'M IN THE MOOD FOR DANCING	
10000048	Scatman (Ski Ba Bop Ba Dop Bop)	Scatman John
10000050	Kiss Kiss	Chris Brown featuring T-Pain
10000051	IN THE NAME OF LOVE	Y&Co. feat. Erica
10000052	Special One	kors k feat. Suzuyo Miyamoto
10000053	Sandstorm	
10000062	Crosswind	Mutsuhiko Izumi
10000064	あいのうた	肥塚良彦
10000065	Evans	DJ YOSHITAKA
10000066	In Scottish Highlands	Thomas Howard Lichtenstein
10000067	SigSig	kors k
10000068	凛として咲く花の如く	紅色リトマス
10000069	TRUE♥LOVE	jun feat. Schanita
10000070	Slang	Kozo Nakamura
11000001	Insanity: Luna	BEMANI Sound Team "SYUNN"
11000002	Victory of the Century	BEMANI Sound Team "TAG"
11000003	Cranberry	BEMANI Sound Team "肥塚良彦"
11000004	†渚のリベンジΣ脈あり!?バケェ～ション†	とろピカるサマー☆Prim
11000005	Reincarnation Of Dead Petal	BEMANI Sound Team "Akhuta Works"
11000006	Insanity: Sol	BEMANI Sound Team "Yvya"
11000007	怪獣大戦争	BEMANI Sound Team "桃山珍太郎"
11000008	Elysion ex machina	OSTER project
11000009	Time Lapse	Hommarju
11000010	ZIGZAG COWBOY	BEMANI Sound Team "劇団レコード"
11000011	Explore Every Ave.	BEMANI Sound Team "SYUNN"
11000013	Liar×Girl	BEMANI Sound Team "HuΣeR" feat.ゆきまめ
11000014	Crackpot Evangelist	BEMANI Sound Team "ZAQUVA"
11000016	Lost Dream	Tatsunoshin
11000017	見えない星の渡り方	Capchii feat. ことの
11000018	Anubis	ARForest
11000019	和beat	Flash back Dominant
11000020	Mr.REAPER	eksΩ feat.ロクナナハチ
11000021	Flying soda	猫叉Master feat.林ももこ
11000022	brown hawk owl	BEMANI Sound Team "S-C-U"
11000023	ヒトガタ	HIMEHINA
11000024	神っぽいな	ピノキオピー
11000025	一途	(King Gnu)
11000026	ミックスナッツ	(Official髭男dism)
11000027	ネトゲ廃人シュプレヒコール	さつき が てんこもり
11000028	New World	FELT
11000029	銀の旋律-Silver melodia-	ちょこふぁん
11000030	Fly Above	Sota Fujimori
11000031	Don't believe the hype	DJ Mass MAD Izm* feat.H14(LEONAIR)
11000032	Chewingood!!!	TORIENA
11000033	Virus Funk	Nhato
11000034	Slipstream	lapix
11000035	DIAMOND CROSSING	S-C-U vs L.E.D.
11000036	satfinal	RAM
11000037	Go Beyond!!	Ryu☆ Vs. Sota
11000038	シープドリーミン	テヅカ feat. 大西あみみ
11000039	€omet popcorn	pan
11000040	I	黒魔	
11000041	archive::zip	kamome sano
11000042	Freeway Shuffle	dj TAKA
11000043	La libertad	Cheryl Horrocks
11000044	Pierce The Sky	JAKAZiD feat. K.N.
11000045	Blew My Mind	Sota F.
11000046	nightbird lost wing	猫叉Master+
11000047	エンドルフィン	U1 overground
11000048	HAPPY☆LUCKY☆YEAPPY	DJ ミラクル☆ストーン
11000049	out of focus	Qrispy Joybox
11000050	ハウリング	Liz Triangle
11000051	東京テディベア	Neru
20000001	ロボットハニー	Aira Mitsuki
20000002	情熱大陸	
20000003	にんげんっていいな	ガガガSP
20000004	Musical Messenger	九州男
20000006	今	ET-KING
20000007	Kiss & Ride	中塚武
20000008	愛 NEED	キマグレン
20000009	バカサバイバー	ウルフルズ
20000010	Garden of Love	
20000011	素直になれたら	
20000012	労働 CALLING	怒髪天
20000013	パンキッシュ☆	mihimaru GT
20000014	鬼帝の剣	ALI PROJECT
20000015	キミ、メグル、ボク	
20000016	HOT LIMIT	
20000017	PROMiSE	
20000018	My SunShine	
20000019	明日ハレルヤ！	岡本真夜x大橋卓弥(from スキマスイッチ)
