0|崖の上のポニョ|井上あずみ
1|Dragon Soul|谷本貴義
2|Blow Me Up|Sota Fujimori feat. Calin
3|Cloudy Skies|EGOISTIC LEMONTEA 	
4|男々道|Des-ROW・組
5|Fantasia|TЁЯRA
6|fffff|Five Hammer
7|High School Love|DJ YOSHITAKA feat.DWP
8|Homesick Pt.2&3|ORANGENOISE SHORTCUT
9|SA-DA-ME|good-cool feat.すわひでお
10|♥LOVE²シュガ→♥|dj TAKA feat.のりあ
11|ナタラディーン|Q-Mex
12|にゃんだふる55 marble version|Dormir
13|Pink Rose|Kiyommy+Seiya
14|ポップミュージック論|ギラギラメガネ団
15|凛として咲く花の如く|紅色リトマス
16|サヨナラ・ヘヴン|猫叉Master
17|Soul On Fire|L.E.D.-G VS GUHROOVY fw NO+CHIN 	
18|Übertreffen|TAKA respect for J.S.B.
19|うるとらボーイ|V.C.O. featuring Yuko Asai
20|Blind Justice ～Torn souls, Hurt Faiths～|Zektbach
21|キセキ|GReeeeN
22|じょいふる|いきものがかり
23|ヘビーローテーション|AKB48
24|BABY P|Plus-Tech Squeeze Box
25|チェイス!チェイス!チェイス!|パーキッツ
26|ふしぎなくすり|上野圭一 feat. SATOE
27|隅田川夏恋歌|seiya-murai feat.ALT
28|smooooch・∀・|kors k
29|DROP THE BOMB|Scotty D.
30|First Date|ko-saku
31|jewelry girl*|jun
32|天庭 おとこのこ編|あさき
33|murmur twins|yu_tokiwa.djw
34|恐怖の右脳改革|96
35|LOVE♥SHINE|小坂りゆ
